cell_type,label,pre_rank,pre_nes,pre_inverted,post_rank,post_nes,post_inverted
B_cells,B cells,4,1.259695536898668,47,31,1.0062984876012548,20
DC_cells,DC,4,-0.6624679686863084,47,1,1.4984617303847814,50
Endothelial_cells,Endothelial,1,1.6125124210122992,50,2,1.337846619129481,49
Epithelial,Epithelial,28,-0.7494218078050302,23,1,1.6540459815462791,50
Fibroblast,Fibroblast,40,-1.1533083143422167,11,1,1.4495609904730404,50
Mast_cells,Mast,50,-1.551475273623474,1,3,1.4962204247006294,48
MoMac,MoMac,9,-0.9779541275521806,42,1,1.8938022887261396,50
Neutrophils,Neutrophils,31,-1.055316626374482,20,7,1.554271279212288,44
NK_cells,NK,2,1.309253467023192,49,1,1.3397469037961736,50
Pericyte,Pericyte,39,-1.2675123961639363,12,30,0.9622323236533844,21
Plasma_cells,Plasma,47,-1.1973828748835915,4,1,1.7215239085160643,50
TCD4_cells,CD4+ T,1,1.6102817468568942,50,1,1.5672886489473423,50
TCD8_cells,CD8+ T,1,1.6727371118485883,50,1,1.457633475019574,50
